"url","domain_id","is_objective"
https://meetings.max.omb.gov,238,true
https://firedoc.nist.gov,89,true
https://wagehour.dol.gov,104,true
https://www.uscfc.uscourts.gov,302,true
https://iawg.cap.gov,70,true
https://nosc-dev.woc.noaa.gov,96,true
https://fsc.va.gov,415,true
https://towerfts.csbf.nasa.gov,343,true
https://ncsx.pppl.gov,47,true
https://vpn-ext.pppl.gov,233,true
https://martinsburg.va.gov,464,true
https://midway.fws.gov,448,true
https://ext.em-la.doe.gov,130,true
https://w.usajobs.gov,191,true
https://mo-idp.imp.cms.gov,425,true
https://mplus.nlm.nih.gov,144,true
https://training.eacms.cms.gov,340,true
https://cisto.gsfc.nasa.gov,372,true
https://hudoig.gov,209,true
https://truman.gov,287,true
https://blm.gov,458,true
https://acus.gov,4,true
https://vt.ncsbe.gov,203,true
https://oauth.alcf.anl.gov,46,true
https://c3.ndc.nasa.gov,179,true
https://ag.nv.gov,297,true
https://helpwithmymortgage.gov,114,true
https://caribbean.va.gov,9,true
https://mo-idp.cms.gov,433,true
https://fpki.idmanagement.gov,401,true
https://www.hawaii.gov,280,true
https://inms.gsfc.nasa.gov,383,true
https://hhscap.hhs.gov,138,true
https://www.pr.gov,411,true
https://vote.gov,241,true
http://laser-research.lbl.gov,461,true
https://remotepiv.niehs.nih.gov,184,true
https://polaris.es.anl.gov,395,true
https://extramural-diversity.nih.gov,193,true
https://intranet.cc.nih.gov,342,true
https://geo.api.healthcare.gov,215,true
https://web.archive.org/web/*/https://era.nih.gov,201,true
https://geohazards.cr.usgs.gov,468,true
https://www.webharvest.gov/congress113th/2014/http://www.merkley.senate.gov,188,true
http://www.mansfieldct.gov,390,true
https://ecc.earthdata.nasa.gov,52,true
https://inlaccess.inl.gov,168,true
https://icb.nasa.gov,267,true
https://spars-ta.samhsa.gov,136,true
https://citrixalb-rs.netl.doe.gov,172,true
https://bugs.sit.earthdata.nasa.gov,404,true
https://viamobiletrain.fda.gov,447,true
https://pfasst.lbl.gov,240,true
https://catweb.sba.gov,7,true
https://stopfer.nichd.nih.gov,155,true
https://www-sdss.fnal.gov,57,true
https://ims.nci.nih.gov,339,true
https://eta-stage-publications.lbl.gov,332,true
https://inport.nmfs.noaa.gov,80,true
https://geoservices.sc.egov.usda.gov,128,true
